"phenotype","mean","var"
"5452",0.636363636363636,0.231404958677686
"5463",0.330973520553839,0.221430049246036
"5474",0.690082809937193,0.213868525366381
"5485",0.565579924916024,0.245699273448009
"5496",0.349440231130372,0.227331755997924
"5518",0.39119804400978,0.238162134372702
"5529",0.0374275782155272,0.0360267546044478
"5540_0",0.988915067011703,0.0109620572489421
"5540_1",0.005754895523541,0.00572177670105413
"5556",0.560531482061058,0.246335939679492
"5610_3",0.889344002032133,0.0984112480816023
"5610_1",0.0550898583857243,0.0520549658887651
"5610_2",0.0555661395821426,0.0524785437140805
"5663",0.789873677724145,0.165973250962679
"5674",0.725123903926801,0.199319227880756
"5699",0.800814176245211,0.159510831369915
"5779",0.715840870887697,0.20341271845444
"5832_3",0.855268389662028,0.12378437130695
"5832_1",0.0746189529489728,0.0690509648097718
"5832_2",0.0701126573889993,0.0651968726628521
"5843_3",0.893133676706348,0.0954459122393488
"5843_1",0.0548146126820616,0.0518099709185772
"5843_2",0.0520517106115905,0.0493423300339978
"5855_3",0.687660272848497,0.214783621994428
"5855_1",0.148835778028516,0.126683689207162
"5855_2",0.163503949122987,0.136770407744175
"5866",0.218286099865047,0.170637278470754
"5959",0.670822942643391,0.220819522266653
"22604_3",0.693536586988042,0.21254358949702
"22604_4",0.494845497958152,0.249973431108701
"22604_2",0.201604214054831,0.160959954930165
"22604_1",0.13416337443633,0.116163563396187
"22606_1",0.569406347422805,0.245182758937425
"22606_0",0.764766713972958,0.179898587171962
"22606_2",0.19270184108634,0.155567841528275
"22607_0",0.849574402399224,0.127797737187226
"22607_1",0.473182320441989,0.249280812063124
